URL,Length,Result
http://vevobahis211.blogspot.com,32,-1
http://corpeletro.com/mobile/login.php?enc=1,44,-1
http://saldaodo-bahianinho.com/mobile/login.php?enc=1...,56,-1
http://arenda167042.000webhostapp.com/,38,-1
http://boxberrydostavka.000webhostapp.com/,42,-1
http://boxbery.000webhostapp.com/,33,-1
http://boommusicfree.000webhostapp.com/,39,-1
http://faceb00kserver.000webhostapp.com/,40,-1
http://wellbeingresort-ci.com/product/Made-in-China/Made-in-China/0ff6...,73,-1
http://league0flegends0xog6e.000webhostapp.com/...,50,-1
http://carcinogenic-quarte.000webhostapp.com/,45,-1
http://turborrejection.000webhostapp.com/,41,-1
http://po257710.000webhostapp.com/,34,-1
https://pogodasub.com/2Ge6I0rd/4p0OksK6-inteligo/login.php?pid=z6hZnA...,72,-1
https://pogodasub.com/2Ge6I0rd/Ly6I98Se-ipko/login.php?pid=z6hZnA...,68,-1
https://pogodasub.com/2Ge6I0rd/hz6hZnA,38,-1
https://resicorphome.com/brian/srr/austin/,42,-1
https://kurier24-oplata.com/PzVxLK7l/WdJslUDi-inteligo/login.php?pid=z...,73,-1
https://kurier24-oplata.com/PzVxLK7l/3l0C88s4-ipko/login.php?pid=z6hZn...,73,-1
https://kurier24-oplata.com/PzVxLK7l/hz6hZnA,44,-1
http://pages-user-blocked2.cf/,30,-1
https://v.ht/7pzM,17,-1
http://cashappstimulus.com/,27,-1
https://adampaczka.com/oplata98,31,-1
http://attlogins.yolasite.com/,30,-1
http://91.240.85.235/sparkasse.de.html,38,-1
http://soporttttvirtua.atwebpages.com/login.php...,50,-1
https://aczvsczs.000webhostapp.com/login.htm,44,-1
https://eviteoperigocompreonlineaqui.com/oferta-do-dia/322120771/?gela...,73,-1
http://atenditod2.sslblindado.com/BradescoToken/favorits...,59,-1
https://ibraibraa.000webhostapp.com/recovery-Ibrai.html...,58,-1
https://pendingmessages.delivery.kidsfashion.com.mx/postmaster_logs/05...,73,-1
https://pt.cam.exposed/,23,-1
https://it.cam.exposed/,23,-1
https://ru.cam.exposed/,23,-1
https://es.cam.exposed/,23,-1
https://fr.cam.exposed/,23,-1
https://de.cam.exposed/,23,-1
http://acc-notification-security.my.id/,39,-1
https://bit.ly/2SJ2DIP,22,-1
